commodity,province,MAPE,MAE,samples
Bawang Putih Bonggol,Kepulauan Bangka Belitung,1.5563287020871401,493.22121812810946,1004
Bawang Putih Bonggol,Kepulauan Riau,2.3142883182664225,688.6532085665423,1004
Bawang Putih Bonggol,Lampung,1.318709997443074,371.9706351057214,1004
Bawang Putih Bonggol,Maluku,1.8881351791273024,762.8641460665423,1004
Bawang Putih Bonggol,Maluku Utara,1.4700265606258984,723.7973025497513,1004
Bawang Putih Bonggol,Nusa Tenggara Barat,1.3441320371235026,415.0715951492537,1004
Bawang Putih Bonggol,Nusa Tenggara Timur,1.305599688758989,484.4362367848259,1004
Bawang Putih Bonggol,Papua,1.3799856013267797,606.2127837375622,1004
Bawang Putih Bonggol,Papua Barat,2.181235386470169,1077.199121579602,1004
Bawang Putih Bonggol,Riau,1.3519878572811417,403.5651138837065,1004
Bawang Putih Bonggol,Sulawesi Barat,1.5233795216815613,494.0514614427861,1004
Bawang Putih Bonggol,Sulawesi Selatan,0.838271715304021,266.5673099347015,1004
Bawang Putih Bonggol,Sulawesi Tengah,1.2446655394011457,473.503954835199,1004
Bawang Putih Bonggol,Sulawesi Tenggara,1.4972518499708678,590.124465562811,1004
Bawang Putih Bonggol,Sulawesi Utara,1.358840527832164,540.6454446517413,1004
Bawang Putih Bonggol,Sumatera Barat,1.5249887018889983,446.4600824004975,1004
Bawang Putih Bonggol,Sumatera Selatan,1.2274252492566098,364.1102884017413,1004
Bawang Putih Bonggol,Sumatera Utara,1.0302309601460895,327.01644123134326,1004
Beras Medium,Aceh,0.33311128940428764,39.62835237873134,1004
Beras Medium,Bali,0.47207499002212994,57.52137748756219,1004
Beras Medium,Banten,0.9364302815593405,108.21907552083333,1004
Beras Medium,Bengkulu,0.4287527428946771,50.45301811256219,1004
Beras Medium,DI Yogyakarta,0.5318230081730253,62.91757035136816,1004
Beras Medium,DKI Jakarta,0.5999750544047072,72.90880072294776,1004
Beras Medium,Gorontalo,0.4401235658452864,54.95592350746268,1004
Beras Medium,Jambi,0.2996626861657576,34.216325598569654,1004
Beras Medium,Jawa Barat,0.4266907708077617,50.065483131218905,1004
Beras Medium,Jawa Tengah,0.47509464640182064,54.8222704835199,1004
Beras Medium,Jawa Timur,0.48631600233981387,54.74540869869403,1004
Beras Medium,Kalimantan Barat,0.3163922364361311,41.83408154539801,1004
Beras Medium,Kalimantan Selatan,0.7516191768367139,93.71173429726367,1004
Beras Medium,Kalimantan Tengah,0.5769165615606702,75.3672117925995,1004
Beras Medium,Kalimantan Timur,0.662570902286635,87.59000408115672,1004
Beras Medium,Kalimantan Utara,0.6633387935954025,95.0616060323383,1004
Beras Medium,Kepulauan Bangka Belitung,0.6342649136270407,78.11214921486318,1004
Beras Medium,Kepulauan Riau,0.8385252371398066,108.9346383317786,1004
Beras Medium,Lampung,0.3972494689982666,45.31287410603234,1004
Beras Medium,Maluku,0.9983559628881614,134.17830282182837,1004
Beras Medium,Maluku Utara,0.6997918849392253,99.17204504819652,1004
Beras Medium,Nusa Tenggara Barat,0.6587500991517707,71.63481906871891,1004
Beras Medium,Nusa Tenggara Timur,0.7118268804289823,84.45093380752488,1004
Beras Medium,Papua,0.8494779678930201,120.01341923196517,1004
Beras Medium,Papua Barat,1.2685635451182644,182.93949199315918,1004
Beras Medium,Riau,0.9459548617563712,121.54433885261194,1004
Beras Medium,Sulawesi Barat,0.9766678447999647,117.6982470460199,1004
Beras Medium,Sulawesi Selatan,0.4576384693669928,50.74719177549751,1004
Beras Medium,Sulawesi Tengah,0.5605297509058997,67.06814074160448,1004
Beras Medium,Sulawesi Tenggara,0.9442688152621769,115.85432699782338,1004
Beras Medium,Sulawesi Utara,0.5134173377174052,64.21986260105722,1004
Beras Medium,Sumatera Barat,0.5672261945533169,77.74237212375621,1004
Beras Medium,Sumatera Selatan,0.4661277249241943,53.13597539645522,1004
Beras Medium,Sumatera Utara,0.36695751281363564,45.530409476057216,1004
Beras Premium,Aceh,0.3007627154439379,39.016465523942784,1004
Beras Premium,Bali,0.4963972073296525,65.77489019745023,1004
Beras Premium,Banten,0.8703414271565008,114.1572217039801,1004
Beras Premium,Bengkulu,0.35486671598413394,47.39842292444031,1004
Beras Premium,DI Yogyakarta,0.43998615739166214,55.95244966573385,1004
Beras Premium,DKI Jakarta,0.5610412828517521,80.02857781405473,1004
Beras Premium,Gorontalo,0.35064928405531676,46.72109180659202,1004
Beras Premium,Jambi,0.26364318160531003,35.77167871579602,1004
Beras Premium,Jawa Barat,0.299942547910926,38.531867032027364,1004
Beras Premium,Jawa Tengah,0.41484435951700827,53.62359588774875,1004
Beras Premium,Jawa Timur,0.37220483098946516,47.09522699004975,1004
Beras Premium,Kalimantan Barat,0.25720784168501687,39.564375388681576,1004
Beras Premium,Kalimantan Selatan,0.8389447731762067,140.2014196595149,1004
Beras Premium,Kalimantan Tengah,0.18745552650892605,29.92284670398008,1004
Beras Premium,Kalimantan Timur,0.5709808444177077,83.8839882618159,1004
Beras Premium,Kalimantan Utara,0.4600335509229483,73.02387962531094,1004
Beras Premium,Kepulauan Bangka Belitung,0.5444662202702394,76.61878109452732,1004
Beras Premium,Kepulauan Riau,1.0049868323789541,146.87635552705228,1004
Beras Premium,Lampung,0.38910438181938894,50.16975182680348,1004
Beras Premium,Maluku,0.5230775147894324,81.29803618625621,1004
Beras Premium,Maluku Utara,0.5932891912166113,92.98063393967658,1004
Beras Premium,Nusa Tenggara Barat,0.7009110406112912,87.61347073227611,1004
Beras Premium,Nusa Tenggara Timur,0.6617485283786112,90.81762573849502,1004
Beras Premium,Papua,0.6860866793453475,113.47309837531094,1004
Beras Premium,Papua Barat,1.1218310350441794,183.03855235541045,1004
Beras Premium,Riau,0.6954443124348582,104.40175101057217,1004
Beras Premium,Sulawesi Barat,0.6034805094453954,78.34497434701493,1004
Beras Premium,Sulawesi Selatan,0.36258236085991286,45.2314793221393,1004
Beras Premium,Sulawesi Tengah,0.7171878571277043,95.14382190609453,1004
Beras Premium,Sulawesi Tenggara,0.7742137533326565,108.48196031560946,1004
Beras Premium,Sulawesi Utara,0.42648300306197834,58.17612134639303,1004
Beras Premium,Sumatera Barat,0.5795888765439825,89.4198441386816,1004
Beras Premium,Sumatera Selatan,0.37619500953050605,48.29763292910448,1004
Beras Premium,Sumatera Utara,0.3199474257157618,43.51886077425373,1004
Cabai Merah Keriting,Aceh,2.7510227218481793,1161.0950034981342,1004
Cabai Merah Keriting,Bali,3.932398173325252,1596.0893676150497,1004
Cabai Merah Keriting,Banten,3.369932229828055,1583.2798604633085,1004
Cabai Merah Keriting,Bengkulu,3.2592309383652296,1380.582429648632,1004
Cabai Merah Keriting,DI Yogyakarta,3.899258830967984,1432.9057835820895,1004
Cabai Merah Keriting,DKI Jakarta,2.9231429239347575,1531.1681242226368,1004
Cabai Merah Keriting,Gorontalo,5.1912842662632155,1775.8798196517414,1004
Cabai Merah Keriting,Jambi,3.795981482745945,1558.76708255597,1004
Cabai Merah Keriting,Jawa Barat,2.4742958810680986,1123.6123581312188,1004
Cabai Merah Keriting,Jawa Tengah,2.3495902650080653,923.4336229011194,1004
Cabai Merah Keriting,Jawa Timur,2.8988356105611786,1105.6885494402984,1004
Cabai Merah Keriting,Kalimantan Barat,2.677177860086472,1531.9898554104477,1004
Cabai Merah Keriting,Kalimantan Selatan,4.304713073252981,1918.8774778451493,1004
Cabai Merah Keriting,Kalimantan Tengah,1.9179868756557064,1239.5474385883085,1004
Cabai Merah Keriting,Kalimantan Timur,4.296647791729578,2134.559672341418,1004
Cabai Merah Keriting,Kalimantan Utara,2.612508135250415,1772.9000893967661,1004
Cabai Merah Keriting,Kepulauan Bangka Belitung,3.0222519384648825,1716.8930056747513,1004
Cabai Merah Keriting,Kepulauan Riau,4.104637813613432,2560.4424556902986,1004
Cabai Merah Keriting,Lampung,2.8730301536962264,1227.6347461909204,1004
Cabai Merah Keriting,Maluku,4.551833203900529,2601.768734452736,1004
Cabai Merah Keriting,Maluku Utara,3.653259305692532,2081.7008512126868,1004
Cabai Merah Keriting,Nusa Tenggara Barat,3.6688820543271294,1518.2643034825871,1004
Cabai Merah Keriting,Nusa Tenggara Timur,2.2830171229595195,1266.4652129975125,1004
Cabai Merah Keriting,Papua,3.1635397421201743,2189.3677510883085,1004
Cabai Merah Keriting,Papua Barat,4.664987131408786,3039.299887282338,1004
Cabai Merah Keriting,Riau,3.1817598967547287,1750.9446614583333,1004
Cabai Merah Keriting,Sulawesi Barat,4.163168330811114,1494.9794095926618,1004
Cabai Merah Keriting,Sulawesi Selatan,3.064239681199103,906.9683418843283,1004
Cabai Merah Keriting,Sulawesi Tengah,4.256322669658568,1517.1789392879352,1004
Cabai Merah Keriting,Sulawesi Tenggara,3.721960045501803,1800.2829213308457,1004
Cabai Merah Keriting,Sulawesi Utara,4.6000554304628665,1616.0398690143036,1004
